Order,Member,GRC,Date,Speech
36,Lawrence Wong,Marsiling-Yew Tee,18/2/2022," I will provide children below the age of 21 with a top-up of $200 each in their Child Development Account, Edusave Account or Post-Secondary Education Account. This will be on top of the annual Edusave top-ups they already receive."
37,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,I will also distribute another set of $100 CDC Vouchers this year to support all Singaporean households in their daily expenses. The vouchers can be used at participating heartland shops and hawkers. 
38,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"All these amount to a significant package of $560 million to help Singaporeans with their utility bills, children’s education and daily essentials. [Please refer to Annex A-2.] "
39,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Details of the Jobs and Business Support Package, and the Household Support Package are in the Annex. [Please refer to Annex A-1 and Annex A-2.]"
40,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Beyond the immediate outlook, we must set our eyes on the future. "
41,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"We have come this far as a nation, because we are always thinking about tomorrow: planning and taking actions not just for the present, but also with the longer-term interests of Singapore and Singaporeans at heart. So, we must position ourselves now for the challenges and also the opportunities of the decade ahead."
42,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"We are moving forward from a position of strength. Our responses to the pandemic have distinguished us from other countries. We have kept our air and sea ports open, and ensured an uninterrupted flow of critical supplies. We have enhanced our reputation as a trusted and reliable node.  "
43,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"This is why we are not only attracting more investments, but also securing more high quality, cutting-edge and innovative projects. Singapore continues to be a strategic launch pad for businesses around the world looking to expand into new markets in the region."
44,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"For example, BioNTech, the company that, together with Pfizer, developed the mRNA COVID-19 vaccine, is establishing its regional headquarters for Southeast Asia in Singapore. "
45,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"BioNTech also plans to build a fully integrated mRNA manufacturing facility here, which will be operational as early as next year. The new facility will boost BioNTech’s regional and global supply capacity for its growing pipeline of novel mRNA-based product candidates. [Please refer to Annex B-1.]"
46,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Together with other new investments and plans to build businesses and headquarter operations in Singapore, this will create many good jobs for Singaporeans. "
47,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Our ability to create jobs will depend on how quickly we restructure and transform the economy to take advantage of new opportunities. It will also depend on us getting our foreign worker policies right. So, even as we adjust these policies, we must remain open and welcoming to talent from around the world. "
48,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"On the whole, we are making good progress. Our productivity is increasing, enabling continued income growth for our workers. We are advancing as a Smart City, with our world class infrastructure and digitally-enabled workforce as our key competitive strengths. "
49,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"We also have a more vibrant startup and innovation ecosystem. Last year alone, 11 Singapore-based startups achieved unicorn status – no mean feat for a small city-state. These and other technology firms create many highly skilled jobs and opportunities for Singaporeans. "
50,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Our economic prospects are good, but we will have to contend with new external challenges and adapt quickly to a new environment. "
51,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"We have entered a new era of greater contestation for influence between countries and blocs, which may erode the rules-based multilateral system that has been so crucial to Singapore’s success. In particular, rivalry between the two great powers – US and China – has intensified and will impact the world for the rest of the decade and more.  "
52,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"The pandemic has also turbocharged the move to a digital future. Every time a task moves to the digital realm, it becomes easier to use software to automate and optimise it. Such new digital technologies will disrupt and reshape businesses and impact a wide range of jobs across all sectors of the economy. "
53,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Our local businesses, especially those that are digitally savvy, will be able to take advantage of the rich opportunities on offer and transcend our geographical limitations. But this cuts both ways, as it will also be possible for MNCs to “reshore” more functions to their home countries, as they seek to simplify and localise their supply chains. "
54,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"In short, we are entering a future where conditions are more volatile, the global environment more unpredictable and change more fast-paced than ever. We can and must adjust and still excel in this new environment."
55,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,Our enterprises and workers will need to accelerate their transformation and develop new capabilities to stay ahead of the competition and look for opportunities beyond our shores and in new areas. 
56,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,But there will be segments of our society who are displaced. The fast pace of change can also give rise to a greater sense of anxiety and insecurity about the future.
57,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"It is not the first time we have faced such concerns. When we emerged from the Global Financial Crisis of 2009 and began restructuring our economy in earnest, we were keenly aware of those who could be left behind. So, we stepped up efforts to reskill and upskill our workers, and to strengthen our social security system. "
58,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"We enhanced Workfare and launched the Progressive Wage Model to uplift the incomes of lower-wage workers. We introduced Silver Support to supplement the retirement income of seniors who had low incomes in their working years. We implemented MediShield Life to provide universal and lifelong protections against large hospital bills. Today, these policies have become vital pillars of our social security system."
59,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"And these efforts have made our growth more inclusive. Real incomes of our local workers at the 20th percentile have risen by almost 40% between 2009 and 2019, faster than that of the median worker. Lower-income workers have also benefited from our highly progressive system of taxes and transfers. Inequality after taxes and transfers as measured by the Gini coefficient has steadily improved over the last decade. "
60,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"But we cannot stop here in our efforts to strengthen our social compact. We must continue to do more in a post-pandemic future, where our workers and firms will be exposed to more competition and where there will be greater churn for our businesses and livelihoods. "
61,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"In the coming years, we expect an increasing shift in market rewards towards those with the highest skills and those who are best able to take advantage of new technologies. This will make it harder to keep our growth inclusive and to hold our society tightly together. "
62,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Besides these growing economic and employment-related risks, there are other forces on the horizon that raise the stakes in our efforts to preserve social solidarity and will also have significant implications for our future generations."
63,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"We are now one of the fastest ageing countries. In 2010, 9% of our population were aged 65 and above. Last year, this became 16%. By 2030, we expect Singapore to become like Japan and some European countries today – where one in four or 25% of Singaporeans will be 65 and above."
64,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Ageing will mean an inexorable rise in demand for healthcare and social care. At the same time, our means to provide for this will come under strain, as the ratio of our working population to aged dependents decreases. We must therefore plan ahead to ensure we will have the resources needed to look after more seniors. "
65,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"We must also take decisive steps to join the global effort in tackling climate change. If the world is unable to cut emissions sufficiently in time and temperatures rise beyond a certain level, we risk extreme flooding and weather events. This could result in food and water stress for hundreds of millions of people around the world. Island nations like Singapore will be especially threatened. "
66,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Moving to net zero emissions will be a very costly affair for Singapore, a built-up city-state with very limited scope to tap on renewable energies. But it is a cost we cannot afford to skimp on, for it is existential. It affects our very survival and the Singapore that our children will live in. So, we must take actions now to progressively decarbonise our economy and change our way of life."
67,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"The changes brought about by the pandemic, rising geopolitical contestation, climate change, as well as domestic issues like our rapidly ageing society – these are the defining challenges of our time. They call for robust policy responses to reinforce our resilience and retool our capabilities for the future. "
68,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"More importantly, to overcome these major tests and trials, we must continue to stand united as one. This is why it is more important than ever to renew and strengthen our social compact and to reaffirm our values and what we stand for as a nation. "
69,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Our existing social compact has been shaped by our history, beginning as a young and vulnerable nation thrust into independence. We start and maintain the basic premise that no one owes us a living and that we are responsible for our own defence and survival. "
70,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"The pillars underpinning our social compact – the individual, community groups, businesses and the state – all play a role, complementing one another and contributing to a system of mutual support. "
71,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"The individual works hard to be self-reliant and to provide for his or her family. Community groups, be it unions, charities, or voluntary associations, come together to help different groups of people. Employers do their part to invest in workers, advance their well-being and improve the quality of jobs. The Government creates the conditions for a vibrant economy, invests heavily in our citizens and delivers essential public services. "
72,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"The Government, working actively with the community and tripartite partners, also provides an extra hand to those who start with less, to keep social mobility a defining feature of our society, to mitigate life’s inevitable inequalities and to provide support for the elderly. "
73,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Even with the demands of building a nation and reinvesting continually in our future, we have been able to keep public expenditures in Singapore extremely lean. Government spending today, excluding COVID-19-related expenditure, stands at $88 billion, or about 18% of GDP. This is probably the lowest among the more developed economies, yet it has produced social and economic outcomes that have been better than most."
74,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"We generate sufficient revenues to fund this expenditure and to maintain a balanced Budget. We are supported by our Net Investment Returns Contribution, or NIRC, which is a continuing stream of income from the reserves we have accumulated over the years. "
75,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Over the past five years, NIRC provided on average a revenue stream of around $17 billion or about 3.5% of GDP. This means that for every dollar we spend on public services, about 80 cents is funded by tax. The remaining 20 cents is funded through the NIRC. "
76,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"This fiscal approach has enabled us to keep our overall tax burden low. Currently, half of our workers do not have to pay personal income taxes. In particular, for the middle-income, we have deliberately ensured a low tax burden so that they can enjoy the rewards of their hard work. "
77,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Put another way, for the quality of public services we have in healthcare, education, housing, transport and many other areas, the amount of tax our citizens pay is much lower compared to many developed countries."
78,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"The continental European and Nordic countries have a different social compact, arising from their different histories. They have much higher levels of state-financed welfare provisions, designed to meet the needs of their citizens from cradle to grave. Their governments typically spend well above 30% of their GDP. To fund such a spending, they impose high income taxes, usually much higher than 30%, even for the middle-income group, as well as consumption taxes that range from 20% to 25%. "
79,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"We do not intend to adopt the European model of comprehensive universal welfare and high taxes. But as we tackle the challenges of a changing world, and as our own society ages and faces new stresses, we will have to do more to preserve and strengthen the unity of our people and our social compact."
80,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"In fact, we have already been adjusting our approach over the years, with the Government progressively doing more to support the community and individuals. Our social spending in particular, has almost doubled from $17 billion to $31 billion over the last decade and now takes up close to half of our annual Budget. "
81,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"The increase has gone to programmes that have made a difference in Singaporeans’ lives, like higher subsidies in our healthcare system and in tertiary education, as well as schemes like SkillsFuture, Workfare and Silver Support. "
82,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"In the coming decade, we will invest even more in our people and social infrastructure. We will spare no effort to ensure that all Singaporeans continue to have access to world-class education and healthcare, affordable housing, good jobs and have peace of mind over their retirement needs as they grow old. We will strengthen our system of collective risk sharing, so as to give Singaporeans more assurance in managing life’s uncertainties. "
83,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"We want every Singaporean to know and feel that he or she has a stake in our society – that everyone’s contributions matter and that they will not be left to fend for themselves when times are down. We want to uphold that sense of obligation to each other and strengthen the assurance that, whatever the challenges we face, we will always have each other’s back. "
84,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"These plans require additional spending. They reflect the need to respond to lasting, structural shifts in our society, as well as our new social and environmental aspirations. The spending requirements will therefore be recurring in nature, not temporary. "
85,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Given this, it would not be right to dip into our reserves to meet these new needs. We must husband our reserves for use in major crises and emergencies, as was necessary during the Global Financial Crisis, and especially in the last two years. We must ensure that we continue to get a steady stream of income from the reserves to benefit both today’s generation of Singaporeans and our children and grandchildren. "
86,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,Let me summarise our fiscal outlook over the coming decade. 
87,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"On the expenditure side, our needs are significant and growing. By 2030, we expect Government expenditures to increase to more than 20% of GDP. Most of this increase in spending will go to healthcare."
88,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"On the revenue side, we will not have enough to cover the additional spending needs. The stream of income from NIRC should keep pace with economic growth over time, in spite of a more challenging global investment environment. But our sharply slowing labour force growth and hence, slower GDP growth compared to the last decade, will constrain our tax revenues."
89,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"This is why we will make significant enhancements to our tax system in this Budget. These tax adjustments will help to raise additional revenue and also contribute to a fairer revenue structure. That means everyone chips in and contributes to a vibrant economy and strengthened social compact, but those with greater means contribute a larger share."
90,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"At the same time, we are mindful of the impact of the tax increases on households and businesses and will have a very comprehensive set of measures to cushion the impact and help Singaporeans adjust.  "
91,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"This Budget therefore is about charting our new way forward together. It is a first step in renewing and strengthening our social compact for a post-pandemic world and in realising our vision of a fairer, more sustainable and more inclusive society. It is about giving Singaporeans the confidence to embrace the change that lies before us, so that we can grow into an ever stronger economy and nation, and an ever more secure society and home."
92,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,This Budget will set out the key changes we must make to:
93,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,(a) invest in new capabilities;
94,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,(b) advance our green transition; 
95,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,(c) renew and strengthen our social compact; and
96,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,(d) develop a fairer and more resilient revenue structure. 
97,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Sir, to stay ahead in the race, we must redouble our efforts to invest in new capabilities.  "
98,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Even before COVID-19, we had started to restructure our economy. Through the Industry Transformation Maps, or ITMs, we have been steadily building up the capabilities we need for the future. "
99,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"We have also opened up new avenues of growth, by strengthening our network of Free Trade Agreements and enhancing cooperation with like-minded partners in the digital and green economy."
100,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"But much more work lies ahead. Crucially, we have a window of opportunity over the next few years to establish leading positions in key market segments. So, we will accelerate our investments in new capabilities to power our next stage of growth. "
101,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,Our first priority is to strengthen our digital capabilities. 
102,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Today, we are one of the most connected cities in the world and amongst the first to roll-out a 5G standalone network. In parallel, we have built digital utilities, like SingPass, Myinfo and PayNow, that allow our people and businesses to access digital services and transact seamlessly and safely."
103,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,We will invest further to meet our future needs. 
104,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,We will upgrade our broadband infrastructure to increase broadband access speeds by around 10 times over the next few years. 
105,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"We will also invest in future technologies like 6G, to ride the next communications and connectivity wave."
106,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"The use cases for such high speeds are still nascent, but there are many new possibilities for augmented and virtual reality tools, limited only by our imagination. "
107,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Alongside infrastructure improvements, I will set aside an additional $200 million over the next few years to enhance schemes that build digital capabilities in our businesses and workers. More details can be found in the Annex. [Please refer to Annex C-1.] "
108,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,The Minister for Communications and Information will also elaborate further at the COS. 
109,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Second, we will push for pervasive innovation across the economy. "
110,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Innovation is built on strong R&D foundations. That is why, over the years, we have steadily increased the Government’s investment in R&D, maintaining it at about 1% of GDP, comparable to other small advanced economies. I will continue to sustain our investments in R&D, with $25 billion set aside under the Research, Innovation and Enterprise, or RIE2025 strategy. "
111,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Public investments in R&D also serve as a catalyst for similar investments in the private sector. Unfortunately, our total business expenditure on R&D still lags other economies. "
112,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Presently, most of this R&D is driven by MNCs, which have greater scale and better resources. Local enterprises, which comprise about 80% of all firms, account for only about a quarter of total business R&D expenditure in Singapore."
113,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"I will therefore provide more support for our local firms to undertake R&D activities. We currently have a network of more than 80 centres across our Polytechnics and ITE engaging in technology, innovation and enterprise activities. These centres work closely with SMEs to undertake industry projects, many of which have led to new innovations. "
114,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"For example, Nanyang Polytechnic’s Automation and Robotics Innovation Centre collaborated with Sanwa-Intec Asia, an SME that supplies the automotive industry, to design and implement robotics and automation solutions. [Please refer to Annex B-1.]"
115,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Mr Deputy Speaker, with your permission, I would like to show some slides on the screen."
116,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,Mr Deputy Speaker: Please do.
117,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Mr Lawrence Wong: Thank you, Sir. One of the solutions is a robotic tool that emulates an operator’s handling of hot moulded products. Previously, you would need a human operator to do the work manually. Now, they get the job done using the robotics system. So, Sanwa-Intec has significantly raised production volume, while reducing its energy consumption. [Please refer to Annex B-1.]"
118,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Students from Nanyang Polytechnic also had the chance to work on these projects. One of them is Alysia Ong, who is now working at Sanwa-Intec after completing her internship there. [Please refer to Annex B-1.]"
119,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Such collaborations are a win-win – SMEs get to tap on the R&D capabilities in our Polytechnics and ITE, while students can contribute meaningfully to these projects and gain valuable hands-on industry experience. "
120,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"To further support such collaborations, I will increase the capacity of the centres so that they can provide research and innovation support to more SMEs. Over the next five years, these centres will be able to undertake close to 2,000 innovation projects across five pilot sectors: Agri-Tech, Construction, Food Manufacturing, Precision Engineering and Retail. This amounts to an eight-fold increase in the number of innovation projects undertaken in these sectors. We look forward to many more success stories in the coming years."
121,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Third, we will strengthen our local enterprise ecosystem."
122,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"For the broad base of SMEs, our priority is to raise their productivity. SMEs can make use of the Productivity Solutions Grant, or PSG, to implement digital and automation solutions. "
123,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"I will set aside around $600 million to expand the range of available solutions under the PSG and push for greater take up of productivity solutions by SMEs. We estimate that this will support more than 100,000 productivity projects over the next four years. This is more than double the number of projects supported since the scheme began. "
124,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Larger local enterprises need more customised assistance to scale up and invest in overseas markets. I will support them with a new initiative called Singapore Global Enterprises. Under this initiative, we will provide bespoke assistance tailored to the needs of promising local enterprises, in areas like innovation, internationalisation and the fostering of partnerships with other firms. "
125,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Many of these enterprises also need more support in talent development. We will launch a new Singapore Global Executive Programme, to help them to attract and nurture their next generation of leaders through industry and overseas attachments, mentorships and peer support networks. "
126,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Besides grants and bespoke assistance, some companies also need help with their financing needs. We provide such help through the Enterprise Financing Scheme. I will enhance two components of the Scheme. [Please refer to Annex C-1.]"
127,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,I will expand the M&A loan programme to include domestic M&A activities from 1 April this year to 31 March 2026. This will support companies to grow and expand through mergers and acquisitions. 
128,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"I had earlier announced the extension of the enhanced Trade Loan till September this year. Beyond this six-month extension, I will maintain the enhanced 70% risk-share under the Trade Loan for enterprises venturing into more nascent markets like Bangladesh or Brazil. We hope this will encourage our enterprises to seek untapped opportunities in these markets. "
129,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,The Minister for Trade and Industry will share more about our enterprise development strategy at the COS.
130,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"I will also make further refinements to our tax schemes, to support businesses and strengthen our competitiveness and resilience. More details are in the Annex. [Please refer to Annex C-2.]"
131,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"Finally, and most importantly, we will continue to invest in our people. "
132,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"We continue to invest significantly in education, to help every child achieve their full potential. Through SkillsFuture, we are also empowering and equipping Singaporeans for their lifelong journey of acquiring new skills and sharpening existing ones. "
133,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,"To support this, we are transforming our Institutes of Higher Learning, or IHLs, which include the Autonomous Universities, into institutes for continual learning. We will review the programming in our IHLs and enhance their provision of quality continuing education and training. "
134,Lawrence Wong,Marsiling-Yew Tee,18/2/2022,The Minister for Education will say more about this at the COS.
